exp,d_model,n_layers,d_ff,patch_len,stride,n_params,val_acc,val_loss
patchtst,512,9,1024,32,32,19064836,50.0,1.3671141862869263
patchtst,512,9,1024,32,32,19064836,50.0,1.3671141862869263
patchtst,256,12,1024,64,64,9525252,45.833333333333336,1.3485960960388184
patchtst,64,9,512,1024,8,864900,41.666666666666664,1.3164786100387573
patchtst,256,12,1024,64,64,9525252,37.5,1.3833767175674438
patchtst,256,12,1024,64,64,9525252,37.5,1.3833767175674438
patchtst,64,6,512,1024,8,615876,37.5,1.3155841827392578
patchtst,64,6,512,512,8,587204,33.333333333333336,1.2847137451171875
patchtst,256,8,1024,64,64,6366212,33.333333333333336,1.3802982568740845
patchtst,64,12,512,1024,8,1113924,33.333333333333336,1.3093422651290894
patchtst,128,3,128,32,32,333700,33.333333333333336,1.3848869800567627
patchtst,256,3,1024,32,32,2439172,33.333333333333336,1.3735694885253906
patchtst,64,6,128,128,8,268484,33.333333333333336,1.3203531503677368
patchtst,64,6,512,512,8,587204,33.333333333333336,1.2920712232589722
patchtst,128,3,128,32,32,333700,33.333333333333336,1.384953498840332
patchtst,512,9,1024,64,64,19021316,33.333333333333336,1.3748048543930054
patchtst,128,6,512,1024,8,1425284,29.166666666666668,1.3058891296386719
patchtst,64,6,512,128,8,565700,29.166666666666668,1.3092436790466309
patchtst,512,3,128,32,32,3692932,29.166666666666668,1.3816554546356201
patchtst,256,8,1024,32,32,6387972,25.0,1.384359359741211
patchtst,256,12,1024,64,64,9525252,25.0,1.3820987939834595
patchtst,256,12,1024,64,64,9525252,25.0,1.3820987939834595
patchtst,512,9,1024,32,32,19064836,25.0,1.3864960670471191
patchtst,512,9,1024,32,32,19064836,25.0,1.3864988088607788
patchtst,512,9,1024,32,32,19064836,25.0,1.386523723602295
patchtst,512,9,1024,32,32,19064836,25.0,1.3864871263504028
patchtst,256,12,1024,32,32,9547012,25.0,1.3862075805664062
patchtst,256,12,1024,64,64,9525252,25.0,1.3750418424606323
patchtst,512,9,1024,32,32,19064836,25.0,1.3864988088607788
patchtst,512,9,1024,64,64,19021316,25.0,1.3712831735610962
